구명,행정동명,점포당평균매출액,이전점포당평균매출액,변동률
강남구,개포2동,5251663525,5547475430,-5
강남구,개포4동,5375339708,5573123156,-3
강남구,논현1동,3624020254,3414004759,6
강남구,논현2동,3597159559,3615592905,0
강남구,대치1동,5174651802,5358093351,-3
강남구,대치2동,3484934019,3949131364,-11
강남구,대치4동,3157067565,2716068355,16
강남구,도곡1동,3565688783,3971906739,-10
강남구,도곡2동,3663585604,4048653700,-9
강남구,삼성1동,3198318190,3751880059,-14
강남구,삼성2동,7102462924,6246626559,13
강남구,수서동,3746431161,4302575404,-12
강남구,신사동,3197652840,3368529608,-5
강남구,압구정동,2483404228,3046556326,-18
강남구,역삼1동,1914477948,1903947447,0
강남구,역삼2동,7009173180,6046117432,15
강남구,일원1동,2825640152,2829503661,0
강남구,청담동,4689263300,4093222976,14
강동구,고덕제1동,3645106582,3590167209,1
강동구,고덕제2동,5059496747,4581768423,10
강동구,길동,3383409154,4067306987,-16
강동구,둔촌제2동,3867394082,4018170350,-3
강동구,명일제1동,2571815400,2708593382,-5
강동구,명일제2동,5402170392,5397320015,0
강동구,상일동,3209181696,2939139943,9
강동구,성내제1동,4974860173,4649354050,7
강동구,성내제2동,3836850127,3894206819,-1
강동구,성내제3동,3573561046,4048865721,-11
강동구,암사제1동,2840033449,4056238213,-29
강동구,암사제2동,4035939601,4022077603,0
강동구,암사제3동,3618333104,4933052252,-26
강동구,천호제1동,2508438168,2812768309,-10
강동구,천호제2동,4633531269,7361285542,-37
강동구,천호제3동,1334562291,1589787544,-16
강북구,미아동,3017940555,3208240173,-5
강북구,번1동,4717569517,5082777874,-7
강북구,번2동,2458017007,2474653228,0
강북구,번3동,3149108021,2762354397,14
강북구,삼각산동,4693674569,5050557901,-7
강북구,삼양동,3266736312,2997608642,8
강북구,송중동,3064355201,2985544583,2
강북구,송천동,3211031512,3565739769,-9
강북구,수유1동,3188099968,3064444536,4
강북구,수유2동,2714320333,2850328074,-4
강북구,수유3동,3566300307,2954725721,20
강북구,우이동,2643701200,2352537899,12
강북구,인수동,1730497410,1800345271,-3
강서구,가양제1동,1602065688,1803371694,-11
강서구,공항동,3559585261,4205911144,-15
강서구,등촌제1동,5372233697,6366975773,-15
강서구,등촌제2동,3178475862,3621144122,-12
강서구,등촌제3동,6251299863,6428284072,-2
강서구,발산제1동,3024964706,3720427173,-18
강서구,방화제1동,4058770917,4451046680,-8
강서구,방화제2동,1906084957,2460993163,-22
강서구,염창동,3353284861,4098146665,-18
강서구,우장산동,3960055820,3866007714,2
강서구,화곡본동,4850523948,5126136154,-5
강서구,화곡제1동,3350979601,3256448704,2
강서구,화곡제2동,2754423468,3551391096,-22
강서구,화곡제3동,4786246908,5367558689,-10
강서구,화곡제4동,4865591555,4854264575,0
강서구,화곡제6동,3667414695,4119915346,-10
강서구,화곡제8동,4096129512,4189603369,-2
관악구,낙성대동,2296599509,2890311760,-20
관악구,난곡동,4003307302,4092540541,-2
관악구,난향동,2657234398,2616923716,1
관악구,남현동,5052482340,6595432023,-23
관악구,대학동,2906239183,3148393877,-7
관악구,미성동,3906059673,4778781879,-18
관악구,보라매동,3105592465,3459022779,-10
관악구,삼성동,3134276278,3123195033,0
관악구,서림동,2481422363,3261742239,-23
관악구,서원동,3043179328,3633030729,-16
관악구,성현동,2241040398,2554077863,-12
관악구,신림동,3627539043,3889903048,-6
관악구,신사동,3284592570,3676361320,-10
관악구,신원동,3289830139,3450899925,-4
관악구,은천동,2955389971,3226597618,-8
관악구,인헌동,2560890492,2413010766,6
관악구,조원동,3027889058,3762654899,-19
관악구,중앙동,2598484410,2943453105,-11
관악구,청룡동,3471187620,3639364624,-4
관악구,청림동,3251813891,3663534437,-11
관악구,행운동,5155675598,5460435550,-5
광진구,광장동,3418864145,3139182009,8
광진구,구의제1동,3630331679,5380693711,-32
광진구,구의제2동,2836243596,2671969559,6
광진구,구의제3동,3724290998,4156832949,-10
광진구,군자동,3377793039,4514388319,-25
광진구,능동,1484416682,1332197819,11
광진구,자양제1동,3106205829,4824018870,-35
광진구,자양제2동,3735755434,3452492250,8
광진구,자양제3동,3946463844,3975580591,0
광진구,자양제4동,3526208267,3871647773,-8
광진구,중곡제1동,3202714742,3950942396,-18
광진구,중곡제2동,3794394494,4738154986,-19
광진구,중곡제3동,2012820359,2315293968,-13
광진구,중곡제4동,5507173870,7306533274,-24
광진구,화양동,3902730293,4663913791,-16
구로구,가리봉동,2834948661,2813681904,0
구로구,개봉제1동,4029444922,3635053355,10
구로구,개봉제2동,4322901363,5239358147,-17
구로구,개봉제3동,2791034178,2998571133,-6
구로구,고척제1동,2938892624,3110515168,-5
구로구,고척제2동,3284083086,3697790289,-11
구로구,구로제2동,3232943216,3825046131,-15
구로구,구로제3동,2670611395,2510207459,6
구로구,구로제4동,2568752747,3963402735,-35
구로구,구로제5동,5711814385,3292073753,73
구로구,수궁동,2795901504,2875253473,-2
구로구,신도림동,1875467659,1838738074,1
구로구,오류제1동,2894022190,3049720968,-5
구로구,오류제2동,2577917135,2977912026,-13
금천구,가산동,3474869865,3549596071,-2
금천구,독산제1동,4670160367,5738235684,-18
금천구,독산제2동,3046617737,3568989299,-14
금천구,독산제3동,3785042254,3154212366,19
금천구,독산제4동,3497758527,3105450564,12
금천구,시흥제1동,2826531617,2909738280,-2
금천구,시흥제3동,6020372826,6444853856,-6
금천구,시흥제4동,2152232152,2677462539,-19
금천구,시흥제5동,3548113870,3667687782,-3
노원구,공릉1동,3125606983,3107646941,0
노원구,상계1동,1210273923,1528137780,-20
노원구,상계2동,3973368854,4077606597,-2
노원구,상계3.4동,202378637,300467047,-32
노원구,상계5동,3395041426,2691774617,26
노원구,상계6.7동,4678787973,5160939531,-9
노원구,월계1동,4082221055,4073087121,0
노원구,중계2.3동,2941563141,2995931960,-1
노원구,중계4동,2908302634,3136230326,-7
노원구,하계1동,1458625138,1365761116,6
도봉구,도봉제1동,3360246955,3213356147,4
도봉구,도봉제2동,1122526785,1267516059,-11
도봉구,방학제1동,3676883320,3668550884,0
도봉구,방학제2동,2676283110,2741067479,-2
도봉구,방학제3동,1613102090,1911600995,-15
도봉구,쌍문제1동,4045723806,3722263043,8
