연도,구명,일일인구,10대인구,20대인구,30대인구,40대인구,50대인구,60대이상인구,월요일인구,화요일인구,수요일인구,목요일인구,금요일인구,토요일인구,일요일인구,남성인구,여성인구
2018Y 3Q,강남구,472695,27537,142345,122589,84696,54269,41217,68476,72537,71890,76058,77803,60284,45594,243308,229377
2018Y 3Q,강동구,195710,13673,42360,38565,33979,36182,30914,26978,27523,27682,27618,28992,29052,27822,98416,97289
2018Y 3Q,강북구,143861,9175,37511,24753,23812,25846,22735,19987,20048,19885,19743,20909,21821,21429,70930,72924
2018Y 3Q,강서구,170639,11791,38439,37996,30154,27964,24255,23670,23962,24039,24033,24960,25229,24699,85782,84850
2018Y 3Q,관악구,274065,13627,103576,56188,35272,34333,31016,37285,37806,38733,37662,39525,42001,40993,145205,128849
2018Y 3Q,광진구,176668,11585,62467,33678,24582,25288,19029,23892,24258,24567,24371,25915,27970,25648,88948,87709
2018Y 3Q,구로구,130200,5556,30442,28876,23987,22910,18397,18562,18546,18417,18452,19165,18350,18669,68920,61274
2018Y 3Q,금천구,61316,1950,13619,13590,11309,12144,8678,8706,8729,8720,8729,9080,8886,8443,33477,27833
2018Y 3Q,노원구,92751,8609,27542,14787,14402,15277,12105,12639,12999,12836,12555,13856,14456,13381,44613,48135
2018Y 3Q,도봉구,59106,3303,12150,10024,10236,12365,10997,8311,8311,8147,8144,8555,8730,8869,30102,29000
2018Y 3Q,동대문구,208674,11842,62451,36851,31281,33907,32305,29647,30092,29619,30468,31712,29442,27652,108719,99945
2018Y 3Q,동작구,184977,11265,63192,34593,25645,25523,24720,25947,26481,26559,26961,27908,26838,24240,94486,90485
2018Y 3Q,마포구,303189,21494,118567,64710,43607,31860,22919,39947,42155,42905,43682,46790,47550,40113,145352,157833
2018Y 3Q,서대문구,183255,12357,74530,33003,25282,21491,16556,25387,26343,26684,27499,28408,26111,22782,87009,96237
2018Y 3Q,서초구,266824,14237,77963,62400,47524,35581,29085,38683,40299,40173,42039,43759,34075,27759,140481,126336
